band,mean,std
cmi_ix_s09,-0.015829606412976264,1.8238187151448423521
cmi_ix_s10,-0.0005249462436038424,2.0864051066897040258
cmi_ix_s11,0.011816127156500298,2.3142862753905338012
cmi_ix_s12,0.018891379723238233,2.4096584748522710965
snw_pc_syr,0.022533269986740986,1.192273378322547996
snw_pc_uyr,0.02301303711542935,1.2039463087762914215
snw_pc_smx,0.04002327545950394,1.9253760512552917584
snw_pc_s01,0.03855486974209609,1.8864542743375001722
snw_pc_s02,0.03787806897545443,1.8761467914734588405
snw_pc_s03,0.034183484478466614,1.775974223916785994
snw_pc_s04,0.027817239206977453,1.5828141821007438355
snw_pc_s05,0.018360191924971396,1.2267806829397153833
snw_pc_s06,0.008108735353381559,0.7712631939872598203
snw_pc_s07,0.004770276040530538,0.61874197659885805115
